natural_query	sql_query	result	from_to_where	after_froM	after_from
Which Chicago Bulls home game had the most lead changes?	SELECT g.game_date, os.lead_changes FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE g.team_name_home = 'Chicago Bulls' ORDER BY os.lead_changes DESC LIMIT 1;	4/26/2009 0:00:00 | 28 	game g JOIN other_stats os ON g.game_id = os.game_id	game	game
What is the average fast break points scored by the Philadelphia 76ers at home during the 2018 season?	SELECT AVG(os.pts_fb_home) AS avg_fast_break FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_abbreviation_home = 'PHI' AND g.season_id = '22018';	16.32352941	other_stats os JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
How many Golden State Warriors home games were there where they scored more paint points than their opponents?	SELECT COUNT(*) FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE g.team_abbreviation_home = 'GSW' AND os.pts_paint_home > os.pts_paint_away;	484	game g JOIN other_stats os ON g.game_id = os.game_id	game	game
What is the average second-chance points for Toronto Raptors home games between 2015-2020?	SELECT AVG(os.pts_2nd_chance_home) AS avg_second_chance FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_abbreviation_home = 'TOR' AND g.season_id BETWEEN '22015' AND '22020';	13.07653061	other_stats os JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
When did the Golden State Warriors score the most points in the paint in an away game?	SELECT g.game_date, o.pts_paint_away FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_away = 'Golden State Warriors' ORDER BY o.pts_paint_away DESC LIMIT 1;	2010-03-19 00:00:00 | 90	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which team had the largest lead in any game during the 2020 season?	SELECT CASE          WHEN o.largest_lead_home >= o.largest_lead_away THEN g.team_name_home          ELSE g.team_name_away        END AS team_name,        CASE          WHEN o.largest_lead_home >= o.largest_lead_away THEN o.largest_lead_home          ELSE o.largest_lead_away        END AS largest_lead,        g.game_date FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22020' ORDER BY largest_lead DESC LIMIT 1;	Indiana Pacers | 67 | 2021-05-01 00:00:00	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many games had more than 20 lead changes in the 2019 season?	SELECT COUNT(*) AS high_lead_change_games FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22019' AND o.lead_changes > 20;	11	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average number of rebounds grabbed by the Toronto Raptors in games where they scored at least 40 points from fast breaks?	SELECT AVG(rebounds) AS avg_rebounds FROM (     SELECT g.game_id, g.reb_home AS rebounds     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Toronto Raptors'     AND o.pts_fb_home >= 40          UNION ALL          SELECT g.game_id, g.reb_away AS rebounds     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_away = 'Toronto Raptors'     AND o.pts_fb_away >= 40 );	43.9	(     SELECT g.game_id, g.reb_home AS rebounds     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
What's the highest number of points the Brooklyn Nets scored in the paint in any game during the 2020 season?	SELECT MAX(pts_paint) AS max_paint_points FROM (     SELECT o.pts_paint_home AS pts_paint     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Brooklyn Nets'     AND g.season_id = '22020'          UNION ALL          SELECT o.pts_paint_away AS pts_paint     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_away = 'Brooklyn Nets'     AND g.season_id = '22020' );	74	(     SELECT o.pts_paint_home AS pts_paint     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
How many games did the Oklahoma City Thunder score more than 30 points in the first quarter during the 2017 season?	SELECT COUNT(*) AS high_scoring_first_quarters FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Oklahoma City Thunder' AND g.pts_home / 4 > 30) OR (g.team_name_away = 'Oklahoma City Thunder' AND g.pts_away / 4 > 30) AND g.season_id = '22017';	83	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the largest comeback (overcoming a deficit) made by the Cleveland Cavaliers in the 2016 season?	SELECT      CASE          WHEN g.team_name_home = 'Cleveland Cavaliers' THEN largest_lead_away         ELSE largest_lead_home     END AS opponent_largest_lead,     g.game_date,     CASE         WHEN g.team_name_home = 'Cleveland Cavaliers' THEN g.team_name_away         ELSE g.team_name_home     END AS opponent FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Cleveland Cavaliers' AND g.wl_home = 'W') OR (g.team_name_away = 'Cleveland Cavaliers' AND g.wl_away = 'W') AND g.season_id = '22016' ORDER BY opponent_largest_lead DESC LIMIT 1;	49 | 2010-03-01 00:00:00 | New York Knicks	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the average number of points scored by the Portland Trail Blazers in games where they had at least 15 second-chance points?	SELECT AVG(pts) AS avg_points FROM (     SELECT g.pts_home AS pts     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Portland Trail Blazers'     AND o.pts_2nd_chance_home >= 15          UNION ALL          SELECT g.pts_away AS pts     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_away = 'Portland Trail Blazers'     AND o.pts_2nd_chance_away >= 15 );	102.9899497	(     SELECT g.pts_home AS pts     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
