natural_query	sql_query	result	from_to_where	after_froM	after_from
Which NBA teams were established after the year 2000? List their names and founding years, sorted from newest to oldest	SELECT full_name FROM team WHERE year_founded > 2000 ORDER BY year_founded DESC;	New Orleans Pelicans	team	team	team
What is the most points the Los Angeles Lakers have scored at home?	SELECT MAX(pts_home) FROM game  WHERE team_name_home = 'Los Angeles Lakers';	162	game	game	game
What is the second-highest number of points the Los Angeles Lakers have ever scored in a single home game?	SELECT pts_home FROM game WHERE team_name_home = 'Los Angeles Lakers' ORDER BY pts_home DESC LIMIT 1 OFFSET 1;	156	game	game	game
How many home games did the Golden State Warriors win in the 2017 season?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'GSW'    AND wl_home = 'W'    AND season_id = '22017';	29	game	game	game
What is the average number of assists by the Boston Celtics in home wins?	SELECT AVG(ast_home)  FROM game  WHERE team_abbreviation_home = 'BOS'    AND wl_home = 'W';	26.51355662	game	game	game
Which game had the highest total points scored by both teams when the Miami Heat played at home?	SELECT game_id, (pts_home + pts_away) AS total_points  FROM game  WHERE team_abbreviation_home = 'MIA'  ORDER BY total_points DESC  LIMIT 1;	0021701054 | 290.0	game	game	game
What is the Chicago Bulls' largest lead in a home game during the 2016 season?	SELECT MAX(plus_minus_home)  FROM game  WHERE team_abbreviation_home = 'CHI'    AND season_id = '22016';	47	game	game	game
How many times did the Houston Rockets score over 120 points at home?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'HOU'    AND pts_home > 120;	298	game	game	game
What is the highest three-point percentage the Phoenix Suns achieved in an away game?	SELECT MAX(fg3_pct_away)  FROM game  WHERE team_abbreviation_away = 'PHX';	1	game	game	game
What was the average points difference in home games won by the Denver Nuggets?	SELECT AVG(pts_home - pts_away)  FROM game  WHERE team_abbreviation_home = 'DEN'    AND wl_home = 'W';	11.96471532	game	game	game
In 2018, which team has the most home wins and how many home wins did they have? 	SELECT team_abbreviation_home, COUNT(*)  FROM game  WHERE wl_home = 'W'    AND season_id = '22018'  GROUP BY team_abbreviation_home  ORDER BY COUNT(*) DESC  LIMIT 1;	DEN | 34 	game	game	game
What is the total number of rebounds by the San Antonio Spurs in home games during the 2015 season?	SELECT SUM(reb_home)  FROM game  WHERE team_abbreviation_home = 'SAS'    AND season_id = '22015';	1845	game	game	game
What is the average scoring ouput for home teams. Round to 2 decimal places.	SELECT ROUND(AVG(pts_home),2) AS avg_home_points FROM game WHERE season_type = 'Regular Season';	104.76	game	game	game
Find Boston Celtics' largest home victory margin in the 2008 season.	SELECT MAX(pts_home - pts_away) AS biggest_win FROM game WHERE team_abbreviation_home = 'BOS' AND season_id = '22008';	32	game	game	game
How many New York Knicks home games had over 15 offensive rebounds and 10+ steals?	SELECT game_date, oreb_home, stl_home FROM game WHERE team_name_home = 'New York Knicks' AND oreb_home > 15 AND stl_home >= 10;	109	game	game	game
What was the highest number of steals by the Detroit Pistons in a single game during the 2004 season?	SELECT MAX(stl) AS max_steals FROM (     SELECT stl_home AS stl FROM game WHERE team_abbreviation_home = 'DET' AND season_id = '22004'     UNION ALL     SELECT stl_away AS stl FROM game WHERE team_abbreviation_away = 'DET' AND season_id = '22004' );	13	(     SELECT stl_home AS stl FROM game	game	game
How many total free throws did the Dallas Mavericks make in the 2011 season?	SELECT SUM(ftm) AS total_free_throws FROM (     SELECT ftm_home AS ftm FROM game WHERE team_abbreviation_home = 'DAL' AND season_id = '22011'     UNION ALL     SELECT ftm_away AS ftm FROM game WHERE team_abbreviation_away = 'DAL' AND season_id = '22011' );	1029	(     SELECT ftm_home AS ftm FROM game	game	game
Which game had the lowest combined score when the Philadelphia 76ers played in the 2019 season?	SELECT game_id, (pts_home + pts_away) AS total_points FROM game WHERE season_id = '22019' AND (team_abbreviation_home = 'PHI' OR team_abbreviation_away = 'PHI') ORDER BY total_points ASC LIMIT 1;	0021900630 | 177.0	game	game	game
What was the average three-point percentage for the Toronto Raptors in away games during the 2020 season?	SELECT AVG(fg3_pct_away) AS avg_3p_pct FROM game WHERE team_abbreviation_away = 'TOR' AND season_id = '22020';	0.3803888889	game	game	game
How many total offensive rebounds did the Oklahoma City Thunder collect in the 2012 season?	SELECT SUM(oreb) AS total_offensive_rebounds FROM (     SELECT oreb_home AS oreb FROM game WHERE team_abbreviation_home = 'OKC' AND season_id = '22012'     UNION ALL     SELECT oreb_away AS oreb FROM game WHERE team_abbreviation_away = 'OKC' AND season_id = '22012' ); 		(     SELECT oreb_home AS oreb FROM game	game	game
 How many games did the Boston Celtics win on the road during the 2018 season?	SELECT COUNT(*) AS away_wins FROM game WHERE team_name_away = 'Boston Celtics'  AND wl_away = 'W' AND season_id = '22018';	21	game	game	game
Which team had the highest average free throw percentage at home in the 2016 season?	SELECT team_name_home, AVG(ft_pct_home) AS avg_ft_percentage FROM game WHERE season_id = '22016' GROUP BY team_name_home ORDER BY avg_ft_percentage DESC LIMIT 1;	Boston Celtics | 0.820975609756098	game	game	game
What was the total number of assists made by the Miami Heat in games where they scored more than 110 points at home?	SELECT SUM(ast_home) AS total_assists FROM game WHERE team_name_home = 'Miami Heat' AND pts_home > 110;	9235	game	game	game
How many times have the Milwaukee Bucks and Chicago Bulls played against each other since 2010?	SELECT COUNT(*) AS total_matchups FROM game WHERE (team_name_home = 'Milwaukee Bucks' AND team_name_away = 'Chicago Bulls'       OR team_name_home = 'Chicago Bulls' AND team_name_away = 'Milwaukee Bucks') AND CAST(SUBSTR(season_id, 2) AS INTEGER) >= 2010;	67	game	game	game
What is the average number of turnovers committed by the Brooklyn Nets in games they won at home?	SELECT AVG(tov_home) AS avg_turnovers FROM game WHERE team_name_home = 'Brooklyn Nets' AND wl_home = 'W';	14.68122271	game	game	game
What was the average points scored by the Denver Nuggets in home games during the 2019 season?	SELECT AVG(pts_home) AS avg_home_points FROM game WHERE team_name_home = 'Denver Nuggets' AND season_id = '22019';	111.8378378	game	game	game
How many games did the Philadelphia 76ers lose by more than 20 points in the 2018 season?	SELECT COUNT(*) AS blowout_losses FROM game WHERE (team_name_home = 'Philadelphia 76ers' AND wl_home = 'L' AND plus_minus_home < -20) OR (team_name_away = 'Philadelphia 76ers' AND wl_away = 'L' AND plus_minus_away < -20) AND season_id = '22018';	100	game	game	game
Which team had the highest three-point shooting percentage in away games during the 2020 season?	SELECT team_name_away, AVG(fg3_pct_away) AS avg_3pt_pct FROM game WHERE season_id = '22020' GROUP BY team_name_away ORDER BY avg_3pt_pct DESC LIMIT 1;	LA Clippers | 0.401333333333333	game	game	game
What is the total number of points scored by the Houston Rockets in games where they made more than 20 three-pointers?	SELECT SUM(points) AS total_points FROM (     SELECT pts_home AS points     FROM game     WHERE team_name_home = 'Houston Rockets'     AND fg3m_home > 20          UNION ALL          SELECT pts_away AS points     FROM game     WHERE team_name_away = 'Houston Rockets'     AND fg3m_away > 20 );	6435	(     SELECT pts_home AS points     FROM game	game	game
What was the average margin of victory for the Milwaukee Bucks in home wins during the 2021 season?	SELECT AVG(plus_minus_home) AS avg_victory_margin FROM game WHERE team_name_home = 'Milwaukee Bucks' AND wl_home = 'W' AND season_id = '22021';	13.37037037	game	game	game
Which team had the most steals in a single game during the 2015 season?	SELECT      CASE          WHEN stl_home > stl_away THEN team_name_home          ELSE team_name_away      END AS team_name,     CASE          WHEN stl_home > stl_away THEN stl_home          ELSE stl_away      END AS steals,     game_date FROM game WHERE season_id = '22015' ORDER BY steals DESC LIMIT 1;	New Orleans Pelicans | 21.0 | 2016-01-08 00:00:00	game	game	game
How many games did the San Antonio Spurs play that went to overtime in the 2016 season?	SELECT COUNT(*) AS overtime_games FROM game WHERE (team_name_home = 'San Antonio Spurs' OR team_name_away = 'San Antonio Spurs') AND min > 240 AND season_id = '22016';	5	game	game	game
What was the average number of offensive rebounds per game for the Chicago Bulls in the 2019 season?	SELECT AVG(oreb) AS avg_offensive_rebounds FROM (     SELECT game_id, oreb_home AS oreb     FROM game     WHERE team_name_home = 'Chicago Bulls'     AND season_id = '22019'          UNION ALL          SELECT game_id, oreb_away AS oreb     FROM game     WHERE team_name_away = 'Chicago Bulls'     AND season_id = '22019' );	10.46153846	(     SELECT game_id, oreb_home AS oreb     FROM game	game	game
