natural_query	sql_query	result	from_to_where	after_froM	after_from
What is the average fast break points scored by the Philadelphia 76ers at home during the 2018 season?	SELECT AVG(os.pts_fb_home) AS avg_fast_break FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_abbreviation_home = 'PHI' AND g.season_id = '22018';	16.32352941	other_stats os JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
What is the average second-chance points for Toronto Raptors home games between 2015-2020?	SELECT AVG(os.pts_2nd_chance_home) AS avg_second_chance FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_abbreviation_home = 'TOR' AND g.season_id BETWEEN '22015' AND '22020';	13.07653061	other_stats os JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
What is the total number of points the Boston Celtics scored in the paint during the 2020 season?	SELECT SUM(paint_points) AS total_paint_points  FROM (     SELECT os.pts_paint_home AS paint_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_home = 'Boston Celtics' AND g.season_id = '22020'      UNION ALL      SELECT os.pts_paint_away AS paint_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_away = 'Boston Celtics' AND g.season_id = '22020' ) AS all_games	2884	(     SELECT os.pts_paint_home AS paint_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
What was the average number of fast break points scored by the Miami Heat in games they lost during the 2017 season?	SELECT AVG(fastbreak_points) AS avg_fastbreak_points  FROM (     SELECT os.pts_fb_home AS fastbreak_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_home = 'Miami Heat' AND g.wl_home = 'L' AND g.season_id = '22017'      UNION ALL      SELECT os.pts_fb_away AS fastbreak_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_away = 'Miami Heat' AND g.wl_away = 'L' AND g.season_id = '22017' ) AS losing_games	11.29032258	(     SELECT os.pts_fb_home AS fastbreak_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
What is the total number of points scored by the Denver Nuggets in fourth quarters during the 2021 season?	SELECT SUM(points_off_turnovers) AS total_points_off_turnovers  FROM (     SELECT os.pts_off_to_home AS points_off_turnovers      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_home = 'Denver Nuggets' AND g.season_id = '22021'      UNION ALL      SELECT os.pts_off_to_away AS points_off_turnovers      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_away = 'Denver Nuggets' AND g.season_id = '22021' ) AS all_games	1071	(     SELECT os.pts_off_to_home AS points_off_turnovers      FROM other_stats os      JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
How many points did Michael Jordan's Chicago Bulls score in the paint during the 1997 season?	SELECT SUM(paint_points) AS total_paint_points FROM (     SELECT os.pts_paint_home AS paint_points     FROM other_stats os     JOIN game g ON os.game_id = g.game_id     WHERE g.team_name_home = 'Chicago Bulls' AND g.season_id = '21997'     UNION ALL     SELECT os.pts_paint_away AS paint_points     FROM other_stats os     JOIN game g ON os.game_id = g.game_id     WHERE g.team_name_away = 'Chicago Bulls' AND g.season_id = '21997' ) AS all_games	2654	(     SELECT os.pts_paint_home AS paint_points     FROM other_stats os     JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
Which team had the largest home court lead in any game against the Los Angeles Lakers?	SELECT team_city_home AS home_team, largest_lead_home AS max_lead FROM other_stats JOIN game ON other_stats.game_id = game.game_id WHERE team_name_away = 'Los Angeles Lakers' ORDER BY largest_lead_home DESC LIMIT 1;	Utah | 53 	other_stats JOIN game ON other_stats.game_id = game.game_id	other_stats	other_stats
Which opponent did the Golden State Warriors have the most lead changes against in a single home game?	SELECT o.team_city_away AS opponent, o.lead_changes FROM other_stats o JOIN game g ON o.game_id = g.game_id WHERE g.team_name_home = 'Golden State Warriors' ORDER BY o.lead_changes DESC LIMIT 1;	Seattle | 33 	other_stats o JOIN game g ON o.game_id = g.game_id	other_stats	other_stats
What was the largest lead held by the Orlando Magic in any game where they eventually lost at home?	SELECT o.largest_lead_home AS largest_lead, g.game_date FROM other_stats o JOIN game g ON o.game_id = g.game_id WHERE g.team_name_home = 'Orlando Magic' AND g.wl_home = 'L' ORDER BY o.largest_lead_home DESC LIMIT 1;	46 | 2017-11-18 00:00:00	other_stats o JOIN game g ON o.game_id = g.game_id	other_stats	other_stats
What was the highest number of lead changes in any game between the Los Angeles Lakers and Boston Celtics?	SELECT MAX(o.lead_changes) AS max_lead_changes FROM other_stats o JOIN game g ON o.game_id = g.game_id WHERE (g.team_name_home = 'Los Angeles Lakers' AND g.team_name_away = 'Boston Celtics')    OR (g.team_name_home = 'Boston Celtics' AND g.team_name_away = 'Los Angeles Lakers');	22	other_stats o JOIN game g ON o.game_id = g.game_id	other_stats	other_stats
