natural_query	sql_query	result	from_to_where	after_froM	after_from
Which NBA teams were established after the year 2000? List their names and founding years, sorted from newest to oldest	SELECT full_name FROM team WHERE year_founded > 2000 ORDER BY year_founded DESC;	New Orleans Pelicans	team	team	team
When was the Los Angeles Clippers team founded according to the team database?	SELECT year_founded FROM team WHERE full_name = 'Los Angeles Clippers';	1970	team	team	team
What state are the Los Angeles Clippers based in according to the team table?	SELECT state FROM team WHERE full_name = 'Los Angeles Clippers';	California	team	team	team
What is the abbreviation for the Los Angeles Clippers in the team table?	SELECT abbreviation FROM team WHERE full_name = 'Los Angeles Clippers';	LAC	team	team	team
Which team was founded first?	SELECT full_name FROM team ORDER BY year_founded ASC LIMIT 1;	Boston Celtics		team	team
Which team is based in the city of Chicago?	SELECT full_name FROM team WHERE city = 'Chicago';	Chicago Bulls	team	team	team
What is the abbreviation of the team nicknamed 'Heat'?	SELECT abbreviation FROM team WHERE nickname = 'Heat';	MIA	team	team	team
Which team was founded in the same year as the Boston Celtics?	SELECT full_name FROM team WHERE year_founded = (SELECT year_founded FROM team WHERE full_name = 'Boston Celtics');	Boston Celtics, Golden State Warriors, New York Knicks	team	team	team
Which teams are located in the state of California?	SELECT full_name FROM team WHERE state = 'California';	Golden State Warriors, Los Angeles Clippers, Los Angeles Lakers, Sacramento Kings	team	team	team
Which team has the abbreviation 'NYK'?	SELECT full_name FROM team WHERE abbreviation = 'NYK';	New York Knicks	team	team	team
Which teams were founded after the year 2000?	SELECT full_name FROM team WHERE year_founded > 2000;	New Orleans Pelicans	team	team	team
What is the city of the team with the nickname 'Bulls'?	SELECT city FROM team WHERE nickname = 'Bulls';	Chicago	team	team	team
List all teams founded before 1970.	SELECT full_name FROM team WHERE year_founded < 1970;	Atlanta Hawks, Boston Celtics, Chicago Bulls, Golden State Warriors, Houston Rockets, Los Angeles Lakers, Milwaukee Bucks, New York Knicks, Philadelphia 76ers, Phoenix Suns, Sacramento Kings, Oklahoma City Thunder, Washington Wizards, Detroit Pistons	team	team	team
Which team has 'Warriors' as their nickname?	SELECT full_name FROM team WHERE nickname = 'Warriors';	Golden State Warriors	team	team	team
Which teams share the same city as the Los Angeles Lakers?	SELECT full_name FROM team WHERE city = (SELECT city FROM team WHERE full_name = 'Los Angeles Lakers');	Los Angeles Clippers, Los Angeles Lakers	team	team	team
Which team abbreviation corresponds to the city of Houston?	SELECT abbreviation FROM team WHERE city = 'Houston';	HOU	team	team	team
What is the state of the team nicknamed 'Jazz'?	SELECT state FROM team WHERE nickname = 'Jazz';	Utah	team	team	team
List the full names of all teams founded in the 1980s.	SELECT full_name FROM team WHERE year_founded BETWEEN 1980 AND 1989;	Dallas Mavericks, Miami Heat, Minnesota Timberwolves, Orlando Magic, Charlotte Hornets	team	team	team
Which team has the same nickname as the team located in Charlotte?	SELECT nickname FROM team WHERE city = 'Charlotte';	Hornets	team	team	team
List the cities of all teams founded before 1965.	SELECT city FROM team WHERE year_founded < 1965;	Atlanta, Boston, Golden State, Los Angeles, New York, Philadelphia, Sacramento, Washington, Detroit	team	team	team
What is the full name of the team based in Dallas?	SELECT full_name FROM team WHERE city = 'Dallas';	Dallas Mavericks	team	team	team
Which team has a nickname starting with the letter 'S'?	SELECT full_name FROM team WHERE nickname LIKE 'S%';	Phoenix Suns, San Antonio Spurs	team	team	team
List all team abbreviations for teams founded in the 1990s.	SELECT abbreviation FROM team WHERE year_founded BETWEEN 1990 AND 1999;	TOR, MEM	team	team	team
Which teams were founded in the same state as the Golden State Warriors?	SELECT full_name FROM team WHERE state = (SELECT state FROM team WHERE full_name = 'Golden State Warriors');	Golden State Warriors, Los Angeles Clippers, Los Angeles Lakers, Sacramento Kings	team	team	team
