natural_query	sql_query	result	from_to_where	after_froM	after_from
What is the most points the Los Angeles Lakers have scored at home?	SELECT MAX(pts_home) FROM game  WHERE team_name_home = 'Los Angeles Lakers';	162	game	game	game
What is the second-highest number of points the Los Angeles Lakers have ever scored in a single home game?	SELECT pts_home FROM game WHERE team_name_home = 'Los Angeles Lakers' ORDER BY pts_home DESC LIMIT 1 OFFSET 1;	156	game	game	game
How many home games did the Golden State Warriors win in the 2017 season?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'GSW'    AND wl_home = 'W'    AND season_id = '22017';	29	game	game	game
What is the average number of assists by the Boston Celtics in home wins?	SELECT AVG(ast_home)  FROM game  WHERE team_abbreviation_home = 'BOS'    AND wl_home = 'W';	26.51355662	game	game	game
Which game had the highest total points scored by both teams when the Miami Heat played at home?	SELECT game_id, (pts_home + pts_away) AS total_points  FROM game  WHERE team_abbreviation_home = 'MIA'  ORDER BY total_points DESC  LIMIT 1;	0021701054 | 290.0	game	game	game
What is the Chicago Bulls' largest lead in a home game during the 2016 season?	SELECT MAX(plus_minus_home)  FROM game  WHERE team_abbreviation_home = 'CHI'    AND season_id = '22016';	47	game	game	game
How many times did the Houston Rockets score over 120 points at home?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'HOU'    AND pts_home > 120;	298	game	game	game
What is the highest three-point percentage the Phoenix Suns achieved in an away game?	SELECT MAX(fg3_pct_away)  FROM game  WHERE team_abbreviation_away = 'PHX';	1	game	game	game
What was the average points difference in home games won by the Denver Nuggets?	SELECT AVG(pts_home - pts_away)  FROM game  WHERE team_abbreviation_home = 'DEN'    AND wl_home = 'W';	11.96471532	game	game	game
In 2018, which team has the most home wins and how many home wins did they have? 	SELECT team_abbreviation_home, COUNT(*)  FROM game  WHERE wl_home = 'W'    AND season_id = '22018'  GROUP BY team_abbreviation_home  ORDER BY COUNT(*) DESC  LIMIT 1;	DEN | 34 	game	game	game
What is the total number of rebounds by the San Antonio Spurs in home games during the 2015 season?	SELECT SUM(reb_home)  FROM game  WHERE team_abbreviation_home = 'SAS'    AND season_id = '22015';	1845	game	game	game
What is the average scoring ouput for home teams. Round to 2 decimal places.	SELECT ROUND(AVG(pts_home),2) AS avg_home_points FROM game WHERE season_type = 'Regular Season';	104.76	game	game	game
Which Chicago Bulls home game had the most lead changes?	SELECT g.game_date, os.lead_changes FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE g.team_name_home = 'Chicago Bulls' ORDER BY os.lead_changes DESC LIMIT 1;	4/26/2009 0:00:00 | 28 	game g JOIN other_stats os ON g.game_id = os.game_id	game	game
Find Boston Celtics' largest home victory margin in the 2008 season.	SELECT MAX(pts_home - pts_away) AS biggest_win FROM game WHERE team_abbreviation_home = 'BOS' AND season_id = '22008';	32	game	game	game
How many Golden State Warriors home games were there where they scored more paint points than their opponents?	SELECT COUNT(*) FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE g.team_abbreviation_home = 'GSW' AND os.pts_paint_home > os.pts_paint_away;	484	game g JOIN other_stats os ON g.game_id = os.game_id	game	game
How many New York Knicks home games had over 15 offensive rebounds and 10+ steals?	SELECT game_date, oreb_home, stl_home FROM game WHERE team_name_home = 'New York Knicks' AND oreb_home > 15 AND stl_home >= 10;	109	game	game	game
What was the highest number of steals by the Detroit Pistons in a single game during the 2004 season?	SELECT MAX(stl) AS max_steals FROM (     SELECT stl_home AS stl FROM game WHERE team_abbreviation_home = 'DET' AND season_id = '22004'     UNION ALL     SELECT stl_away AS stl FROM game WHERE team_abbreviation_away = 'DET' AND season_id = '22004' );	13	(     SELECT stl_home AS stl FROM game	game	game
How many total free throws did the Dallas Mavericks make in the 2011 season?	SELECT SUM(ftm) AS total_free_throws FROM (     SELECT ftm_home AS ftm FROM game WHERE team_abbreviation_home = 'DAL' AND season_id = '22011'     UNION ALL     SELECT ftm_away AS ftm FROM game WHERE team_abbreviation_away = 'DAL' AND season_id = '22011' );	1029	(     SELECT ftm_home AS ftm FROM game	game	game
Which game had the lowest combined score when the Philadelphia 76ers played in the 2019 season?	SELECT game_id, (pts_home + pts_away) AS total_points FROM game WHERE season_id = '22019' AND (team_abbreviation_home = 'PHI' OR team_abbreviation_away = 'PHI') ORDER BY total_points ASC LIMIT 1;	0021900630 | 177.0	game	game	game
What was the average three-point percentage for the Toronto Raptors in away games during the 2020 season?	SELECT AVG(fg3_pct_away) AS avg_3p_pct FROM game WHERE team_abbreviation_away = 'TOR' AND season_id = '22020';	0.3803888889	game	game	game
How many total offensive rebounds did the Oklahoma City Thunder collect in the 2012 season?	SELECT SUM(oreb) AS total_offensive_rebounds FROM (     SELECT oreb_home AS oreb FROM game WHERE team_abbreviation_home = 'OKC' AND season_id = '22012'     UNION ALL     SELECT oreb_away AS oreb FROM game WHERE team_abbreviation_away = 'OKC' AND season_id = '22012' ); 		(     SELECT oreb_home AS oreb FROM game	game	game
 How many games did the Boston Celtics win on the road during the 2018 season?	SELECT COUNT(*) AS away_wins FROM game WHERE team_name_away = 'Boston Celtics'  AND wl_away = 'W' AND season_id = '22018';	21	game	game	game
Which team had the highest average free throw percentage at home in the 2016 season?	SELECT team_name_home, AVG(ft_pct_home) AS avg_ft_percentage FROM game WHERE season_id = '22016' GROUP BY team_name_home ORDER BY avg_ft_percentage DESC LIMIT 1;	Boston Celtics | 0.820975609756098	game	game	game
What was the total number of assists made by the Miami Heat in games where they scored more than 110 points at home?	SELECT SUM(ast_home) AS total_assists FROM game WHERE team_name_home = 'Miami Heat' AND pts_home > 110;	9235	game	game	game
When did the Golden State Warriors score the most points in the paint in an away game?	SELECT g.game_date, o.pts_paint_away FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_away = 'Golden State Warriors' ORDER BY o.pts_paint_away DESC LIMIT 1;	2010-03-19 00:00:00 | 90	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many times have the Milwaukee Bucks and Chicago Bulls played against each other since 2010?	SELECT COUNT(*) AS total_matchups FROM game WHERE (team_name_home = 'Milwaukee Bucks' AND team_name_away = 'Chicago Bulls'       OR team_name_home = 'Chicago Bulls' AND team_name_away = 'Milwaukee Bucks') AND CAST(SUBSTR(season_id, 2) AS INTEGER) >= 2010;	67	game	game	game
What is the average number of turnovers committed by the Brooklyn Nets in games they won at home?	SELECT AVG(tov_home) AS avg_turnovers FROM game WHERE team_name_home = 'Brooklyn Nets' AND wl_home = 'W';	14.68122271	game	game	game
Which team had the largest lead in any game during the 2020 season?	SELECT CASE          WHEN o.largest_lead_home >= o.largest_lead_away THEN g.team_name_home          ELSE g.team_name_away        END AS team_name,        CASE          WHEN o.largest_lead_home >= o.largest_lead_away THEN o.largest_lead_home          ELSE o.largest_lead_away        END AS largest_lead,        g.game_date FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22020' ORDER BY largest_lead DESC LIMIT 1;	Indiana Pacers | 67 | 2021-05-01 00:00:00	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
