natural_query	sql_query	result
Which NBA teams were established after the year 2000? List their names and founding years, sorted from newest to oldest	SELECT full_name FROM team WHERE year_founded > 2000 ORDER BY year_founded DESC;	New Orleans Pelicans
What is the most points the Los Angeles Lakers have scored at home?	SELECT MAX(pts_home) FROM game  WHERE team_name_home = 'Los Angeles Lakers';	162
What is the second-highest number of points the Los Angeles Lakers have ever scored in a single home game?	SELECT pts_home FROM game WHERE team_name_home = 'Los Angeles Lakers' ORDER BY pts_home DESC LIMIT 1 OFFSET 1;	156
How many home games did the Golden State Warriors win in the 2017 season?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'GSW'    AND wl_home = 'W'    AND season_id = '22017';	29
What is the average number of assists by the Boston Celtics in home wins?	SELECT AVG(ast_home)  FROM game  WHERE team_abbreviation_home = 'BOS'    AND wl_home = 'W';	26.51355662
Which game had the highest total points scored by both teams when the Miami Heat played at home?	SELECT game_id, (pts_home + pts_away) AS total_points  FROM game  WHERE team_abbreviation_home = 'MIA'  ORDER BY total_points DESC  LIMIT 1;	0021701054 | 290.0
What is the Chicago Bulls' largest lead in a home game during the 2016 season?	SELECT MAX(plus_minus_home)  FROM game  WHERE team_abbreviation_home = 'CHI'    AND season_id = '22016';	47
How many times did the Houston Rockets score over 120 points at home?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'HOU'    AND pts_home > 120;	298
What is the highest three-point percentage the Phoenix Suns achieved in an away game?	SELECT MAX(fg3_pct_away)  FROM game  WHERE team_abbreviation_away = 'PHX';	1
What was the average points difference in home games won by the Denver Nuggets?	SELECT AVG(pts_home - pts_away)  FROM game  WHERE team_abbreviation_home = 'DEN'    AND wl_home = 'W';	11.96471532
In 2018, which team has the most home wins and how many home wins did they have? 	SELECT team_abbreviation_home, COUNT(*)  FROM game  WHERE wl_home = 'W'    AND season_id = '22018'  GROUP BY team_abbreviation_home  ORDER BY COUNT(*) DESC  LIMIT 1;	DEN | 34 
What is the total number of rebounds by the San Antonio Spurs in home games during the 2015 season?	SELECT SUM(reb_home)  FROM game  WHERE team_abbreviation_home = 'SAS'    AND season_id = '22015';	1845
What is the average scoring ouput for home teams. Round to 2 decimal places.	SELECT ROUND(AVG(pts_home),2) AS avg_home_points FROM game WHERE season_type = 'Regular Season';	104.76
Which Chicago Bulls home game had the most lead changes?	SELECT g.game_date, os.lead_changes FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE g.team_name_home = 'Chicago Bulls' ORDER BY os.lead_changes DESC LIMIT 1;	4/26/2009 0:00:00 | 28 
What is the average fast break points scored by the Philadelphia 76ers at home during the 2018 season?	SELECT AVG(os.pts_fb_home) AS avg_fast_break FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_abbreviation_home = 'PHI' AND g.season_id = '22018';	16.32352941
Find Boston Celtics' largest home victory margin in the 2008 season.	SELECT MAX(pts_home - pts_away) AS biggest_win FROM game WHERE team_abbreviation_home = 'BOS' AND season_id = '22008';	32
How many Golden State Warriors home games were there where they scored more paint points than their opponents?	SELECT COUNT(*) FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE g.team_abbreviation_home = 'GSW' AND os.pts_paint_home > os.pts_paint_away;	484
How many New York Knicks home games had over 15 offensive rebounds and 10+ steals?	SELECT game_date, oreb_home, stl_home FROM game WHERE team_name_home = 'New York Knicks' AND oreb_home > 15 AND stl_home >= 10;	109
What is the average second-chance points for Toronto Raptors home games between 2015-2020?	SELECT AVG(os.pts_2nd_chance_home) AS avg_second_chance FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_abbreviation_home = 'TOR' AND g.season_id BETWEEN '22015' AND '22020';	13.07653061
