natural_query	sql_query	result
Which NBA teams were established after the year 2000? List their names and founding years, sorted from newest to oldest	SELECT full_name FROM team WHERE year_founded > 2000 ORDER BY year_founded DESC;	New Orleans Pelicans
What is the most points the Los Angeles Lakers have scored at home?	SELECT MAX(pts_home) FROM game  WHERE team_name_home = 'Los Angeles Lakers';	162
How many times did the Houston Rockets score over 120 points at home?	SELECT COUNT(*)  FROM game  WHERE team_abbreviation_home = 'HOU'    AND pts_home > 120;	298
What is the highest three-point percentage the Phoenix Suns achieved in an away game?	SELECT MAX(fg3_pct_away)  FROM game  WHERE team_abbreviation_away = 'PHX';	1
How many games in NBA history have gone to overtime?	SELECT COUNT(*) AS overtime_games FROM game WHERE min > 240	3414
When was the Los Angeles Clippers team founded according to the team database?	SELECT year_founded FROM team WHERE full_name = 'Los Angeles Clippers';	1970
What state are the Los Angeles Clippers based in according to the team table?	SELECT state FROM team WHERE full_name = 'Los Angeles Clippers';	California
What is the abbreviation for the Los Angeles Clippers in the team table?	SELECT abbreviation FROM team WHERE full_name = 'Los Angeles Clippers';	LAC
Which season had the highest average free throw percentage for home teams?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(ft_pct_home) DESC LIMIT 1;	21951
How many points did the home team score in the game with the fewest total rebounds?	SELECT pts_home FROM game ORDER BY (reb_home + reb_away) ASC LIMIT 1;	66.0
How many points did the Phoenix Suns score in the highest scoring away game they played?	SELECT MAX(pts_away) FROM game WHERE team_abbreviation_away = 'PHX';	161.0
How many points did the away team score in games where the home team had more rebounds?	SELECT SUM(pts_away) FROM game WHERE reb_home > reb_away;	2702764.0
How many points were scored in the earliest recorded game in the database?	SELECT (pts_home + pts_away) FROM game ORDER BY game_date ASC LIMIT 1;	134.0
How many points did the visiting team score in the game where the home team had exactly 0 turnovers?	SELECT pts_away FROM game WHERE game_id IN (SELECT game_id FROM game WHERE tov_home = 0);	88.0,112.0,105.0,93.0,76.0,99.0
How many points were scored by the away team in the most recent playoff game?	SELECT pts_away FROM game WHERE season_type = 'Playoffs' ORDER BY game_date DESC LIMIT 1;	89.0
How many points did the Miami Heat score in their lowest-scoring game at home?	SELECT MIN(pts_home) FROM game WHERE team_abbreviation_home = 'MIA';	56.0
How many points did the away team score in the only game where the home team had exactly 69 field goal attempts?	SELECT pts_away FROM game WHERE fga_home = 69 LIMIT 1;	81.0
How many points did the away team score in a game where both teams made the same number of three-pointers?	SELECT pts_away FROM game WHERE fg3m_home = fg3m_away ORDER BY game_date DESC LIMIT 1;	101.0
How many points were scored in the most recent game where the home team had zero free throw attempts?	SELECT pts_home + pts_away FROM game WHERE fta_home = 0 ORDER BY game_date DESC LIMIT 1;	359.0
How many total points were scored in a game where the away team committed twice as many turnovers as the home team?	SELECT pts_home + pts_away FROM game WHERE tov_away = 2 * tov_home LIMIT 1;	205.0
What was the total score of the only game in which the home team made exactly 33 field goals?	SELECT pts_home + pts_away FROM game WHERE fgm_home = 33 LIMIT 1;	144.0
What was the total number of points in the only game where the sum of both teams' free throws made was exactly 42?	SELECT pts_home + pts_away FROM game WHERE (ftm_home + ftm_away) = 42 LIMIT 1;	156.0
How many points did the visiting team score in the first game where the home team committed fewer than 5 personal fouls?	SELECT pts_away FROM game WHERE pf_home < 5 ORDER BY game_date ASC LIMIT 1;	81.0
Which team had the highest number of team turnovers in an away game?	SELECT team_abbreviation_away FROM other_stats ORDER BY team_turnovers_away DESC LIMIT 1;	CHI
Which away team scored the most points off turnovers in a single game?	SELECT team_abbreviation_away FROM other_stats ORDER BY pts_off_to_away DESC LIMIT 1;	ATL
What was the total number of points off turnovers by away teams when they committed more than 20 total turnovers?	SELECT SUM(pts_off_to_away) FROM other_stats WHERE total_turnovers_away > 20;	45727
What is the highest number of team rebounds recorded by an away team in a single game?	SELECT MAX(team_rebounds_away) FROM other_stats;	24
